iter	Passed	Remaining
913	43430	4086
914	43485	4039
915	43531	3991
916	43585	3945
917	43636	3897
918	43699	3851
919	43743	3803
920	43784	3755
921	43835	3708
922	43885	3661
923	43937	3613
924	43978	3565
925	44035	3519
926	44084	3471
927	44139	3424
928	44189	3377
929	44240	3329
930	44288	3282
931	44332	3234
932	44376	3186
933	44416	3138
934	44465	3091
935	44525	3044
936	44579	2997
937	44620	2949
938	44665	2901
939	44709	2853
940	44751	2805
941	44794	2758
942	44833	2709
943	44871	2661
944	44909	2613
945	44948	2565
946	44986	2517
947	45030	2470
948	45074	2422
949	45117	2374
950	45170	2327
951	45213	2279
952	45256	2231
953	45305	2184
954	45359	2137
955	45402	2089
956	45441	2041
957	45482	1994
958	45524	1946
959	45569	1898
960	45613	1851
961	45658	1803
962	45698	1755
963	45752	1708
964	45795	1660
965	45846	1613
966	45897	1566
967	45939	1518
968	45983	1471
969	46024	1423
970	46080	1376
971	46154	1329
972	46206	1282
973	46258	1234
974	46310	1187
975	46353	1139
976	46393	1092
977	46445	1044
978	46494	997
979	46544	949
980	46588	902
981	46630	854
982	46688	807
983	46734	759
984	46781	712
985	46826	664
986	46866	617
987	46906	569
988	46944	522
989	46992	474
990	47054	427
991	47104	379
992	47161	332
993	47206	284
994	47255	237
995	47312	190
996	47377	142
997	47431	95
998	47489	47
999	47534	0
